gvkey,fyear,at,ebit,ebitda,ni,ppent,sale,naics
003619,2017.0,10663.0,1128.0,1375.0,323.0,3239.0,8698.0,332431
003622,2017.0,56.581,6.241,7.41,3.021,1.778,70.27,313210
003639,2017.0,1336.285,23.586,74.685,-11.209,113.686,1485.861,333318
003643,2017.0,31747.88,554.807,602.619,364.149,520.958,1226.553,522110
003643,2017.0,31747.88,,,,520.958,,522110
003647,2017.0,217.984,28.175,35.994,20.877,51.794,323.725,313210
003650,2017.0,18075.0,1936.0,2515.0,999.0,3927.0,20428.0,333618
003662,2017.0,3236.321,339.743,439.738,214.891,390.235,2271.026,332912
003691,2017.0,254.368,-135.57,-135.568,-143.247,0.006,0.0,325412
003707,2017.0,2938.2,327.3,455.3,451.5,349.8,2218.2,518210
003708,2017.0,4096.938,245.005,370.692,194.029,1263.059,1223.408,722511
003734,2017.0,5644.0,554.0,787.0,111.0,1807.0,7209.0,336390
003735,2017.0,46648.6,3180.3,4418.6,2492.1,2454.6,18329.7,334516
003761,2017.0,30.287,5.047,5.869,5.449,2.458,34.051,334515
003801,2017.0,473.135,43.016,96.102,22.12,193.183,915.958,561730
003806,2017.0,165.238,-37.44,1.795,-31.266,86.573,157.148,213112
003813,2017.0,38999.0,4307.0,6752.0,2934.0,25018.0,71879.0,452319
003814,2017.0,2049.2,-20.0,86.9,-94.6,1324.9,1236.9,2211
003835,2017.0,65786.3,2861.3,4576.8,2159.1,11661.4,28444.7,333111
003836,2017.0,35002.8,1019.9,1667.9,328.4,4718.3,2227.0,522220
003851,2017.0,53292.0,6114.0,8349.0,3577.0,26563.0,41244.0,481111
003855,2017.0,189.957,12.615,19.031,5.516,139.807,68.84,221210
003863,2017.0,2208.827,398.734,521.386,230.155,84.638,1965.556,3231
003897,2017.0,33767.0,1646.0,2676.0,1134.0,20721.0,12607.0,2211
003905,2017.0,2314.035,229.454,312.811,122.283,488.826,1809.8,611310
003908,2017.0,3.384,-0.986,-0.946,-0.983,0.821,3.326,335312
003937,2017.0,1966.631,105.675,139.275,52.436,254.281,1845.966,424940
003946,2017.0,5250.2,63.1,190.6,-233.1,364.5,4609.3,334118
003962,2017.0,52.085,-1.198,1.225,-2.446,10.176,112.335,334418
003964,2017.0,3673.169,271.206,502.801,221.324,1696.276,6422.676,452210
003969,2017.0,1488.673,91.037,186.718,-1.805,459.169,1054.204,334413
003980,2017.0,95789.0,13873.0,16655.0,8980.0,28406.0,55137.0,515120
004001,2017.0,282.838,4.581,17.323,-9.555,93.785,412.462,314110
004016,2017.0,12516.911,2032.618,2436.849,1538.96,2701.282,23470.967,452319
004019,2017.0,799.6,116.7,153.3,74.4,372.1,1143.4,321113
004029,2017.0,76585.0,4124.0,6029.0,2999.0,53758.0,12586.0,22111
004036,2017.0,1979.7,328.6,403.8,232.8,484.6,2371.9,336390
004040,2017.0,3904.5,282.8,474.2,-34.4,615.1,6939.6,32311
004045,2017.0,92.047,38.424,47.726,38.424,66.692,57.291,533110
004058,2017.0,10657.653,986.94,1381.18,811.665,999.772,7830.436,333415
004060,2017.0,192164.0,7352.0,11207.0,1460.0,36247.0,62484.0,325199
004066,2017.0,24931.2,2059.7,2341.8,1088.4,690.9,15273.6,541810
004072,2017.0,3871.5,137.4,529.6,-1067.3,1437.6,6649.8,448120
004091,2017.0,566.753,25.398,47.898,20.077,110.252,558.183,336413
004093,2017.0,137914.0,6129.0,9656.0,3059.0,86391.0,23565.0,2211
004094,2017.0,2480.9,423.0,502.7,140.9,38.9,1742.5,561450
004108,2017.0,4910.474,303.494,420.256,2.652,671.796,3660.831,333914
004115,2017.0,1899.307,275.009,422.915,157.217,422.107,3066.88,237130
004124,2017.0,26.064,-0.996,-0.406,-1.866,4.973,35.758,334510
004130,2017.0,29.097,-0.522,0.716,2.193,7.032,37.284,333314
004145,2017.0,6091.463,352.728,457.728,292.633,298.066,2256.982,334516
004186,2017.0,176.458,14.328,19.047,5.045,29.192,204.24,332510
004193,2017.0,1953.221,96.216,,83.183,,275.17,531120
004193,2017.0,1953.221,,,,0.0,,531120
004194,2017.0,1707.0,104.0,184.0,94.0,314.0,1531.0,333316
004199,2017.0,32623.0,2503.0,3362.0,2985.0,3502.0,20404.0,335314
004201,2017.0,2330.901,485.258,503.372,282.131,48.989,1529.01,523930
004201,2017.0,2330.901,,,,48.989,,523930
004213,2017.0,19962.4,2060.1,2953.4,1508.4,3707.1,13838.3,325612
004225,2017.0,61.621,7.369,8.62,5.215,27.86,111.966,424920
004241,2017.0,3484.363,198.254,289.097,98.261,2928.437,916.797,22111
004274,2017.0,372.988,93.349,100.622,116.223,22.025,367.884,335999
